# EEG Fpz-Cz,EEG Pz-Oz,EOG horizontal,Resp oro-nasal,EMG submental,Temp rectal,Event marker
1.096468864468864621e-04,9.984126984126980714e-06,1.528058608058607804e-04,-3.890000000000000000e+02,3.149999999999999910e-06,3.730655640874187640e+01,9.109999999999997726e+02
1.045655677655677818e-04,1.260439560439559966e-05,9.258608058608057141e-05,-3.919721920223847746e+02,3.150326122286533281e-06,3.728175699970742585e+01,9.044896053431077689e+02
1.018754578754578954e-04,9.622710622710619130e-06,1.538095238095237819e-04,-3.949121330877125047e+02,3.150653026035968226e-06,3.725647002131488250e+01,8.978431096816660784e+02
1.023736263736263919e-04,7.634920634920630417e-06,3.136263736263734741e-05,-3.978187499161996357e+02,3.150980769260538440e-06,3.723070472379030349e+01,8.910624752409742086e+02
9.510036630036630809e-05,6.641025641025636908e-06,1.186813186813186633e-04,-4.006909826157386192e+02,3.151309416172021875e-06,3.720447069401662787e+01,8.841497504232956999e+02
9.480146520146521562e-05,5.195360195360190572e-06,7.702930402930400827e-05,-4.035277852110690446e+02,3.151639036989948760e-06,3.717777784958651210e+01,8.771070685187511344e+02
8.922197802197803882e-05,4.291819291819288305e-06,1.337362637362636986e-04,-4.063281261655153571e+02,3.151969707740797621e-06,3.715063643259275494e+01,8.699366463510060612e+02
8.683076923076924489e-05,6.460317460317456963e-06,1.186813186813186633e-04,-4.090909888950148456e+02,3.152301510048399941e-06,3.712305700316101564e+01,8.626407828587911126e+02
8.115164835164836608e-05,7.273504273504269680e-06,1.146666666666666575e-04,-4.118153722741653269e+02,3.152634530915809695e-06,3.709505043272931601e+01,8.552218576143535529e+02
8.274578754578755752e-05,1.043589743589743185e-05,1.347399267399267001e-04,-4.145002911340220635e+02,3.152968862498866881e-06,3.706662789707946359e+01,8.476823292799821274e+02
7.985641025641026711e-05,7.905982905982900758e-06,1.221941391941391820e-04,-4.171447767513793110e+02,3.153304601871750653e-06,3.703780086912549052e+01,8.400247340038097263e+02
8.324395604395605399e-05,8.583638583638546330e-07,9.660073260073257721e-05,-4.197478773292771734e+02,3.153641850784755011e-06,3.700858111146443719e+01,8.322516837561446437e+02
7.636923076923077822e-05,1.129426129426125503e-06,1.161721611721611461e-04,-4.223086584684737090e+02,3.153980715414611010e-06,3.697898066869519340e+01,8.243658646076262357e+02
7.407765567765569985e-05,8.809523809523804719e-06,1.236996336996336841e-04,-4.248262036296337101e+02,3.154321306107600730e-06,3.694901185951098199e+01,8.163700349505602389e+02
7.706666666666669226e-05,7.634920634920630417e-06,9.258608058608057141e-05,-4.272996145859809758e+02,3.154663737115798413e-06,3.691868726857157412e+01,8.082670236648290256e+02
7.278241758241760088e-05,1.314652014652014203e-05,1.302234432234431936e-04,-4.297280118661752226e+02,3.155008126326724230e-06,3.688801973816137547e+01,8.000597282298178925e+02
7.437655677655679231e-05,1.278510378510378045e-05,8.154578754578752835e-05,-4.321105351871711946e+02,3.155354594986731269e-06,3.685702235963966444e+01,7.917511127838538414e+02
7.357948717948720337e-05,1.305616605616605248e-05,1.141648351648351432e-04,-4.344463438768269725e+02,3.155703267418452712e-06,3.682570846468954073e+01,7.833442061326829844e+02
7.178608058608059437e-05,1.377899877899877396e-05,1.171758241758241612e-04,-4.367346172860318347e+02,3.156054270732628521e-06,3.679409161637224912e+01,7.748420997085654562e+02
6.969377289377290646e-05,1.811599511599511127e-05,8.455677655677653270e-05,-4.389745551901314684e+02,3.156407734534662302e-06,3.676218559999380631e+01,7.662479454816098041e+02
6.839853479853480749e-05,1.820634920634920252e-05,6.899999999999998311e-05,-4.411653781794268525e+02,3.156763790626237864e-06,3.673000441379073067e+01,7.575649538249986108e+02
7.108864468864470744e-05,1.133943833943833411e-05,1.076410256410256203e-04,-4.433063280385400162e+02,3.157122572702355011e-06,3.669756225944237826e+01,7.487963913358055379e+02
